"","WM115","WM266-4","WM793","WM1205Lu"
"MIMAT0000103",50,2,5,41
"MIMAT0000268",452,944,54,0
"MIMAT0000281",92,13,504,7
"MIMAT0000417",269,11,87,230
"MIMAT0000683",140,0,0,0
"MIMAT0000686",1043,48,64,91
"MIMAT0000724",151,1,916,0
"MIMAT0000726",75,0,169,1
"MIMAT0002824",10,0,17,0
"MIMAT0002830",113,0,231,0
"MIMAT0002832",14,0,32,0
"MIMAT0002833",93,0,310,0
"MIMAT0002834",646,0,930,3
"MIMAT0002835",142,0,542,0
"MIMAT0002837",6,0,28,0
"MIMAT0002838",55,0,216,0
"MIMAT0002840",81,0,131,0
"MIMAT0002842",23,0,49,0
"MIMAT0002844",788,0,2026,3
"MIMAT0002847",49,0,96,0
"MIMAT0002848",40,0,113,0
"MIMAT0002849",37,0,105,0
"MIMAT0002850",15,0,18,0
"MIMAT0002853",174,1,233,0
"MIMAT0002855",20,0,68,0
"MIMAT0002856",49,0,82,0
"MIMAT0002858",299,0,395,0
"MIMAT0002859",523,0,862,0
"MIMAT0002859_1",1161,0,4639,0
"MIMAT0002861",234,0,439,0
"MIMAT0002866",65,0,330,0
"MIMAT0002867",26,0,71,0
"MIMAT0002868",352,0,987,1
"MIMAT0002880",1703,2324,58,0
"MIMAT0003250",1,0,1,42
"MIMAT0003283",272,1709,420,25
"MIMAT0004549",248,7,199,48
"MIMAT0004569",155,8,22,57
"MIMAT0004614",554,29,86,232
"MIMAT0004687",63,0,377,0
"MIMAT0004694",30,0,10,21
"MIMAT0004761",0,0,0,34
"MIMAT0004926",71,26,2,667
"MIMAT0004927",140,63,9,988
"MIMAT0004951",36,12,0,30
"MIMAT0004983",18,0,1,3
"MIMAT0005452",37,3,111,1
"MIMAT0005795",1613,2,3903,1
"MIMAT0005796",230,102,1,135
"MIMAT0022281_1",0,0,60,0
"MIMAT0025851",17,0,8,11
